date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:12:56	168/168	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2019%20Jun%202018%2009:12:33%20GMT	https://zukul.com/robots.txt		(from )
14:12:56	56145/56145	---MCZ	200	added ('OK')	text/html	date:Tue,%2019%20Jun%202018%2009:12:33%20GMT	https://zukul.com/	C:/Users/1234/Desktop/ca/a4/zukul.com/index.html	(from )
14:12:56	6270/6270	---MCZ	-1	error ('Error%20when%20decompressing')	text/html	date:Tue,%2019%20Jun%202018%2009:12:33%20GMT	https://zukul.com/%e2%80%9dhttps://plus.google.com/112717483154655654841%e2%80%9d	C:/Users/1234/Desktop/ca/a4/zukul.com/%e2%80%9dhttps_/plus.google.com/112717483154655654841%e2%80%9d.html	(from https://zukul.com/)
14:12:56	1150/1150	---M--	200	added ('OK')	image/x-icon	etag:%2253d12fc3-47e%22	https://zukul.com/favicon.ico	C:/Users/1234/Desktop/ca/a4/zukul.com/favicon.ico	(from https://zukul.com/)
14:12:56	7197/7197	---M--	200	added ('OK')	image/png	etag:%225b0d4840-1c1d%22	https://zukul.com/public/images/favicon/apple-touch-icon.png	C:/Users/1234/Desktop/ca/a4/zukul.com/public/images/favicon/apple-touch-icon.png	(from https://zukul.com/)
14:12:57	9704/9704	---M--	200	added ('OK')	image/png	etag:%225b0d4840-25e8%22	https://zukul.com/public/images/favicon/apple-touch-icon-72x72.png	C:/Users/1234/Desktop/ca/a4/zukul.com/public/images/favicon/apple-touch-icon-72x72.png	(from https://zukul.com/)
14:12:57	19941/19941	---M--	200	added ('OK')	image/png	etag:%225b0d4840-4de5%22	https://zukul.com/public/images/favicon/apple-touch-icon-114x114.png	C:/Users/1234/Desktop/ca/a4/zukul.com/public/images/favicon/apple-touch-icon-114x114.png	(from https://zukul.com/)
14:12:57	121200/121200	---MCZ	200	added ('OK')	text/css	etag:W/%225b0d4842-1d970%22	https://zukul.com/public/inspinia/css/bootstrap.min.css	C:/Users/1234/Desktop/ca/a4/zukul.com/public/inspinia/css/bootstrap.min.css	(from https://zukul.com/)
14:12:57	66203/66203	---MCZ	200	added ('OK')	text/css	etag:W/%225b0d4842-1029b%22	https://zukul.com/public/inspinia/css/animate.css	C:/Users/1234/Desktop/ca/a4/zukul.com/public/inspinia/css/animate.css	(from https://zukul.com/)
14:12:58	31000/31000	---MCZ	200	added ('OK')	text/css	etag:W/%225b0d4843-7918%22	https://zukul.com/public/inspinia/font-awesome/css/font-awesome.min.css	C:/Users/1234/Desktop/ca/a4/zukul.com/public/inspinia/font-awesome/css/font-awesome.min.css	(from https://zukul.com/)
14:12:58	180207/180207	---MCZ	200	added ('OK')	text/css	etag:W/%225b0d4843-2bfef%22	https://zukul.com/public/inspinia/css/style.css?x=1	C:/Users/1234/Desktop/ca/a4/zukul.com/public/inspinia/css/stylea255.css	(from https://zukul.com/)
14:12:58	9997/9997	---MCZ	200	added ('OK')	text/css	etag:W/%225b260f70-270d%22	https://zukul.com/public/styles/index.css?x=2	C:/Users/1234/Desktop/ca/a4/zukul.com/public/styles/index5661.css	(from https://zukul.com/)
14:12:59	11180/11180	---MCZ	200	added ('OK')	text/css	etag:W/%225b0d4846-2bac%22	https://zukul.com/public/styles/prel.css	C:/Users/1234/Desktop/ca/a4/zukul.com/public/styles/prel.css	(from https://zukul.com/)
14:12:59	86709/86709	---M--	200	added ('OK')	application/javascript	etag:%225b0d4844-152b5%22	https://zukul.com/public/inspinia/js/jquery-3.1.1.min.js	C:/Users/1234/Desktop/ca/a4/zukul.com/public/inspinia/js/jquery-3.1.1.min.js	(from https://zukul.com/)
14:12:59	37045/37045	---M--	200	added ('OK')	application/javascript	etag:%225b0d4844-90b5%22	https://zukul.com/public/inspinia/js/bootstrap.min.js	C:/Users/1234/Desktop/ca/a4/zukul.com/public/inspinia/js/bootstrap.min.js	(from https://zukul.com/)
14:13:00	3256/3256	---M--	200	added ('OK')	application/javascript	etag:%225b0d4845-cb8%22	https://zukul.com/public/inspinia/js/plugins/metisMenu/jquery.metisMenu.js	C:/Users/1234/Desktop/ca/a4/zukul.com/public/inspinia/js/plugins/metisMenu/jquery.metisMenu.js	(from https://zukul.com/)
14:13:00	4682/4682	---M--	200	added ('OK')	application/javascript	etag:%225b0d4846-124a%22	https://zukul.com/public/inspinia/js/plugins/slimscroll/jquery.slimscroll.min.js	C:/Users/1234/Desktop/ca/a4/zukul.com/public/inspinia/js/plugins/slimscroll/jquery.slimscroll.min.js	(from https://zukul.com/)
14:13:00	8543/8543	---M--	200	added ('OK')	application/javascript	etag:%225b0d4844-215f%22	https://zukul.com/public/inspinia/js/inspinia.js	C:/Users/1234/Desktop/ca/a4/zukul.com/public/inspinia/js/inspinia.js	(from https://zukul.com/)
14:13:00	12507/12507	---M--	200	added ('OK')	application/javascript	etag:%225b0d4845-30db%22	https://zukul.com/public/inspinia/js/plugins/pace/pace.min.js	C:/Users/1234/Desktop/ca/a4/zukul.com/public/inspinia/js/plugins/pace/pace.min.js	(from https://zukul.com/)
14:13:01	7083/7083	---M--	200	added ('OK')	application/javascript	etag:%225b0d4846-1bab%22	https://zukul.com/public/inspinia/js/plugins/wow/wow.min.js	C:/Users/1234/Desktop/ca/a4/zukul.com/public/inspinia/js/plugins/wow/wow.min.js	(from https://zukul.com/)
14:13:01	6285/6285	---M--	200	added ('OK')	application/javascript	etag:%225b0d4842-188d%22	https://zukul.com/public/scripts/jquery.number.min.js	C:/Users/1234/Desktop/ca/a4/zukul.com/public/scripts/jquery.number.min.js	(from https://zukul.com/)
14:13:01	4717/4717	---M--	200	added ('OK')	application/javascript	etag:%225b0d4842-126d%22	https://zukul.com/public/scripts/jquery-dateFormat.min.js	C:/Users/1234/Desktop/ca/a4/zukul.com/public/scripts/jquery-dateFormat.min.js	(from https://zukul.com/)
14:13:01	30538/30538	---M--	200	added ('OK')	application/javascript	etag:%225abbc7ca-774a%22	https://zukul.com/public/scripts/sweetalert.min.js	C:/Users/1234/Desktop/ca/a4/zukul.com/public/scripts/sweetalert.min.js	(from https://zukul.com/)
14:13:02	39453/39453	---M--	200	added ('OK')	application/javascript	etag:%225b0d4842-9a1d%22	https://zukul.com/public/scripts/jquery.validate.js?x=2	C:/Users/1234/Desktop/ca/a4/zukul.com/public/scripts/jquery.validate5661.js	(from https://zukul.com/)
14:13:03	838/838	---MC-	200	added ('OK')	text/javascript	date:Tue,%2019%20Jun%202018%2009:12:39%20GMT	http://www.google.com/recaptcha/api.js?onload=onloadCallback&render=explicit	C:/Users/1234/Desktop/ca/a4/www.google.com/recaptcha/api85f1.js	(from https://zukul.com/)
14:13:03	9165/9165	---M--	200	added ('OK')	application/javascript	etag:%225b260f6f-23cd%22	https://zukul.com/public/scripts/index.js?x=6	C:/Users/1234/Desktop/ca/a4/zukul.com/public/scripts/index6d17.js	(from https://zukul.com/)
14:13:04	35266/35266	---MC-	200	added ('OK')	text/javascript	date:Fri,%2018%20May%202018%2001:10:24%20GMT	http://www.google-analytics.com/analytics.js	C:/Users/1234/Desktop/ca/a4/www.google-analytics.com/analytics.js	(from https://zukul.com/)
14:13:04	33286/33286	---MCZ	200	added ('OK')	text/html	date:Tue,%2019%20Jun%202018%2009:12:41%20GMT	https://zukul.com/cookie-policy	C:/Users/1234/Desktop/ca/a4/zukul.com/cookie-policy.html	(from https://zukul.com/)
14:13:04	29614/29614	---MCZ	200	added ('OK')	text/html	date:Tue,%2019%20Jun%202018%2009:12:42%20GMT	https://zukul.com/contact	C:/Users/1234/Desktop/ca/a4/zukul.com/contact.html	(from https://zukul.com/)
14:13:05	6841/6841	---M--	200	added ('OK')	image/jpeg	etag:%225b0d4841-1ab9%22	https://zukul.com/public/images/testimonials/screen1.jpg	C:/Users/1234/Desktop/ca/a4/zukul.com/public/images/testimonials/screen1.jpg	(from https://zukul.com/)
